model,horizon,test_year,y_true,y_pred,train_time_s,peak_memory_mb
XGBoost,4,2016,7.888437070186669,6.72194766998291,1.4522597789764404,0.401744
XGBoost,4,2017,8.280339577079515,6.8382182121276855,1.481102466583252,0.401855
XGBoost,4,2018,7.755935639187829,6.69149923324585,1.3788950443267822,0.401845
XGBoost,4,2019,8.935340611677379,7.141873359680176,1.2706966400146484,0.403703
XGBoost,4,2020,6.962318260153343,7.0292158126831055,1.5159471035003662,0.405392
XGBoost,4,2021,7.812622033977193,7.091175079345703,1.457688808441162,0.398243
XGBoost,4,2022,8.570540370269171,6.9926605224609375,1.4097135066986084,0.407638
XGBoost,4,2023,8.1,6.761369705200195,1.3775169849395752,0.409087
XGBoost,4,2024,7.281128211789584,7.0058674812316895,1.6160504817962646,0.411054
ARIMA+XGBoost,1,2001,7.08,8.086339224319124,1.7363770008087158,0.385306
ARIMA+XGBoost,1,2002,8.0,7.38785605862093,1.6132054328918457,0.389965
ARIMA+XGBoost,1,2003,7.78,7.506917269620335,1.7330567836761475,0.389601
ARIMA+XGBoost,1,2004,7.77,8.132676482678647,1.7566964626312256,0.390143
ARIMA+XGBoost,1,2005,7.96,7.443672506496073,1.6635212898254395,0.384254
ARIMA+XGBoost,1,2006,8.03864910059748,7.891023512634661,1.365311622619629,0.392263
ARIMA+XGBoost,1,2007,7.234262738177594,7.675996919173943,1.4782800674438477,0.395056
ARIMA+XGBoost,1,2008,8.281402712725113,7.439182091977151,1.425405740737915,0.395245
ARIMA+XGBoost,1,2009,7.927665247495372,7.949159799799461,1.4895434379577637,0.396238
ARIMA+XGBoost,1,2010,7.7,7.762161808310293,1.5497589111328125,0.384781
ARIMA+XGBoost,1,2011,7.7,7.6545605097826215,1.435805082321167,0.399743
ARIMA+XGBoost,1,2012,6.662665686341732,7.482791397235598,1.5055243968963623,0.402645
ARIMA+XGBoost,1,2013,7.383846462514578,7.241128798117361,1.4712698459625244,0.404304
ARIMA+XGBoost,1,2014,8.57865036450464,7.571832102587115,1.5161490440368652,0.403821
ARIMA+XGBoost,1,2015,8.974580086118658,7.889010223388373,1.3786101341247559,0.391907
ARIMA+XGBoost,1,2016,7.888437070186669,8.633145193869218,1.2894904613494873,0.407161
ARIMA+XGBoost,1,2017,8.280339577079515,8.317675582854465,1.4637582302093506,0.410642
ARIMA+XGBoost,1,2018,7.755935639187829,8.293843013501748,1.405602216720581,0.410771
ARIMA+XGBoost,1,2019,8.935340611677379,8.271997826384483,1.4478611946105957,0.412502
ARIMA+XGBoost,1,2020,6.962318260153343,8.850366025450706,1.4100072383880615,0.398393
ARIMA+XGBoost,1,2021,7.812622033977193,8.126220336908355,1.6507089138031006,0.414026
ARIMA+XGBoost,1,2022,8.570540370269171,8.086389373038337,1.4040403366088867,0.416057
ARIMA+XGBoost,1,2023,8.1,8.401909378154624,1.2211685180664062,0.416538
ARIMA+XGBoost,1,2024,7.281128211789584,8.302950758393134,1.1361281871795654,0.421245
ARIMA+XGBoost,2,2002,8.0,8.267396380671254,1.7373101711273193,0.385629
ARIMA+XGBoost,2,2003,7.78,7.680974699401379,1.6021006107330322,0.373005
ARIMA+XGBoost,2,2004,7.77,7.675707535538113,1.7422986030578613,0.386851
ARIMA+XGBoost,2,2005,7.96,7.50726100850224,1.755342721939087,0.388802
ARIMA+XGBoost,2,2006,8.03864910059748,7.408741860076548,1.692629337310791,0.390294
ARIMA+XGBoost,2,2007,7.234262738177594,7.522277649197008,1.3333196640014648,0.390566
ARIMA+XGBoost,2,2008,8.281402712725113,7.6673229830453264,1.4617223739624023,0.393673
ARIMA+XGBoost,2,2009,7.927665247495372,7.427733500029595,1.4923431873321533,0.394789
ARIMA+XGBoost,2,2010,7.7,7.669423988744755,1.5094373226165771,0.380982
ARIMA+XGBoost,2,2011,7.7,7.650810154376768,1.545372486114502,0.399105
ARIMA+XGBoost,2,2012,6.662665686341732,7.626498598318884,1.4174044132232666,0.400047
ARIMA+XGBoost,2,2013,7.383846462514578,7.6244385125853675,1.5572667121887207,0.400948
ARIMA+XGBoost,2,2014,8.57865036450464,7.457575123300276,1.5116512775421143,0.402984
ARIMA+XGBoost,2,2015,8.974580086118658,7.628262144377124,1.4857568740844727,0.403546
ARIMA+XGBoost,2,2016,7.888437070186669,8.124319518744647,1.3688292503356934,0.404263
