model,horizon,test_year,y_true,y_pred,pi_lower,pi_upper,pi_width,interval_score,covered
SARIMA,1,2015,8.974580086118658,8.096559031600702,6.935942763971703,9.2571752992297,2.321232535257998,2.3212,True
SARIMA,2,2016,7.888437070186669,7.793262431242607,6.422063890872681,9.164460971612533,2.7423970807398517,2.7424,True
SARIMA,3,2017,8.280339577079515,7.602450397276613,6.156349216210193,9.048551578343032,2.8922023621328385,2.8922,True
SARIMA,4,2018,7.755935639187829,7.482405423929558,6.0077082589202515,8.957102588938865,2.949394330018613,2.9494,True
SARIMA,1,2016,7.888437070186669,8.466604939661813,7.292978037368728,9.640231841954899,2.3472538045861704,2.3473,True
SARIMA,2,2017,8.280339577079515,8.116603222853419,6.691364147193908,9.541842298512929,2.850478151319021,2.8505,True
SARIMA,3,2018,7.755935639187829,7.875447326500463,6.345172312491941,9.405722340508987,3.0605500280170466,3.0606,True
SARIMA,4,2019,8.935340611677379,7.709287666267612,6.131593942502921,9.286981390032304,3.1553874475293835,3.1554,True
SARIMA,1,2017,8.280339577079515,7.68095567426395,6.508891315086088,8.853020033441812,2.344128718355724,2.3441,True
SARIMA,2,2018,7.755935639187829,7.54718327923452,6.152626209637076,8.941740348831964,2.7891141391948873,2.7891,True
SARIMA,3,2019,8.935340611677379,7.460934323792871,5.983716032382956,8.938152615202785,2.954436582819829,2.9544,True
SARIMA,4,2020,6.962318260153343,7.40532582315162,5.89507637792477,8.91557526837847,3.0204988904537,3.0205,True
SARIMA,1,2018,7.755935639187829,7.9611009147957565,6.790037649339427,9.132164180252085,2.3421265309126573,2.3421,True
SARIMA,2,2019,8.935340611677379,7.750636465858368,6.347979907942489,9.153293023774248,2.8053131158317592,2.8053,True
SARIMA,3,2020,6.962318260153343,7.611883584394573,6.119732982117739,9.104034186671408,2.9843012045536685,2.9843,True
SARIMA,4,2021,7.812622033977193,7.520407982639934,5.99099178180936,9.049824183470509,3.0588324016611494,3.0588,True
SARIMA,1,2019,8.935340611677379,7.607805916124464,6.449894101865462,8.765717730383466,2.315823628518004,9.1007,False
SARIMA,2,2020,6.962318260153343,7.511306499604425,6.129364185085373,8.893248814123476,2.7638846290381034,2.7639,True
SARIMA,3,2021,7.812622033977193,7.44844175378481,5.981729648812605,8.915153858757016,2.9334242099444108,2.9334,True
SARIMA,4,2022,8.570540370269171,7.407488384225897,5.906246903709272,8.908729864742522,3.00248296103325,3.0025,True
SARIMA,1,2020,6.962318260153343,8.434918761657606,7.222379778949829,9.647457744365383,2.4250779654155536,12.8275,False
SARIMA,2,2021,7.812622033977193,8.099531022011332,6.639852906583151,9.559209137439513,2.919356230856362,2.9194,True
SARIMA,3,2022,8.570540370269171,7.874750797285749,6.316770092562134,9.432731502009364,3.1159614094472303,3.116,True
SARIMA,4,2023,8.1,7.724100837686831,6.1239287469205586,9.324272928453103,3.200344181532545,3.2003,True
SARIMA,1,2021,7.812622033977193,7.1241349624061305,5.8508142837977175,8.397455641014544,2.546641357216826,2.5466,True
SARIMA,2,2022,8.570540370269171,7.217704598742598,5.746830801898016,8.68857839558718,2.941747593689165,2.9417,True
SARIMA,3,2023,8.1,7.271810736874503,5.740556979481161,8.803064494267845,3.0625075147866845,3.0625,True
SARIMA,4,2024,7.281128211789584,7.303097319767932,5.752178820536839,8.854015818999025,3.1018369984621863,3.1018,True
SARIMA,1,2022,8.570540370269171,7.6261499766827585,6.351155533915503,8.901144419450015,2.5499888855345114,2.55,True
SARIMA,2,2023,8.1,7.520852144556684,6.056623140089506,8.985081149023861,2.9284580089343546,2.9285,True
SARIMA,3,2024,7.281128211789584,7.4613921181520615,5.9417692078070115,8.981015028497112,3.0392458206901,3.0392,True
SARIMA,1,2023,8.1,8.09018461424545,6.800059247474449,9.38030998101645,2.5802507335420017,2.5803,True
SARIMA,2,2024,7.281128211789584,7.812345483642293,6.3219575938125185,9.302733373472067,2.980775779659549,2.9808,True
SARIMA,1,2024,7.281128211789584,7.818704814323111,6.543340701759833,9.094068926886388,2.550728225126555,2.5507,True
ARIMAX,1,2001,7.08,7.781400762591989,6.722477744235508,8.84032378094847,2.1178460367129617,2.1178,True
ARIMAX,2,2002,8.0,7.564550010996937,6.2784885882808075,8.850611433713068,2.5721228454322604,2.5721,True
ARIMAX,3,2003,7.78,7.397094923000462,6.016167393542073,8.77802245245885,2.761855058916778,2.7619,True
ARIMAX,4,2004,7.77,7.276219699834363,5.852442556322691,8.699996843346035,2.8475542870233443,2.8476,True
ARIMAX,1,2002,8.0,6.995859822957718,5.90942862244316,8.082291023472276,2.172862401029116,2.1729,True
ARIMAX,2,2003,7.78,6.96482049518688,5.698072629776929,8.231568360596832,2.5334957308199026,2.5335,True
ARIMAX,3,2004,7.77,6.9504268433328,5.624837213818172,8.276016472847429,2.6511792590292567,2.6512,True
ARIMAX,4,2005,7.96,6.9427128925451305,5.596598635361248,8.288827149729013,2.6922285143677644,2.6922,True
ARIMAX,1,2003,7.78,7.568852822065411,6.441687835519156,8.696017808611666,2.25432997309251,2.2543,True
ARIMAX,2,2004,7.77,7.338516377882885,6.029926992685626,8.647105763080145,2.617178770394519,2.6172,True
ARIMAX,3,2005,7.96,7.20839572383293,5.842339521499474,8.574451926166386,2.7321124046669123,2.7321,True
ARIMAX,4,2006,8.03864910059748,7.1330237452454615,5.747538050278156,8.518509440212766,2.7709713899346093,2.771,True
ARIMAX,1,2004,7.77,7.394462946692532,6.289387160340399,8.499538733044666,2.210151572704267,2.2102,True
ARIMAX,2,2005,7.96,7.218742422211173,5.937910425123081,8.499574419299265,2.5616639941761834,2.5617,True
ARIMAX,3,2006,8.03864910059748,7.133407239367589,5.797546223563721,8.469268255171457,2.671722031607736,2.6717,True
ARIMAX,4,2007,7.234262738177594,7.089596921728573,5.735355464883477,8.44383837857367,2.708482913690193,2.7085,True
ARIMAX,1,2005,7.96,7.488569237488135,6.39472380333039,8.58241467164588,2.1876908683154905,2.1877,True
ARIMAX,2,2006,8.03864910059748,7.323385404611312,6.039201274470291,8.607569534752333,2.5683682602820417,2.5684,True
ARIMAX,3,2007,7.234262738177594,7.223958191608339,5.874751884236484,8.573164498980193,2.6984126147437086,2.6984,True
ARIMAX,4,2008,8.281402712725113,7.163400044462145,5.790398615934654,8.536401472989636,2.7460028570549824,2.746,True
ARIMAX,1,2006,8.03864910059748,7.6198222555385335,6.537584662604974,8.702059848472093,2.1644751858671185,2.1645,True
ARIMAX,2,2007,7.234262738177594,7.423417021781082,6.142250679319092,8.704583364243073,2.5623326849239803,2.5623,True
ARIMAX,3,2008,8.281402712725113,7.3044478435448825,5.951632035548449,8.657263651541317,2.7056316159928686,2.7056,True
ARIMAX,4,2009,7.927665247495372,7.230635765998533,5.850104549417307,8.61116698257976,2.7610624331624534,2.7611,True
